http://cloc.sourceforge.net v 1.60  T=1.19 s (151.5 files/s, 16527.0 lines/s)
-------------------------------------------------------------------------------------------------------
File                                                                blank        comment           code
Lib\Animation\IAnimator.d.ts                                            4             18              9
Lib\UI\Interfaces\Windows\ISelectionWindow.d.ts                         5             10              9
Lib\UI\Interfaces\ITab.d.ts                                             5             10              9
Lib\UI\Interfaces\IProgressSpinner.d.ts                                 4             10              9
Lib\UI\Enums\TrackBarModes.ts                                           3             11              9
Lib\UI\Enums\TextAlignments.ts                                          3             11              9
Lib\UI\Interfaces\IResizeGrip.d.ts                                      4              9              8
Lib\UI\Interfaces\ITileBackground.d.ts                                  4             10              8
Lib\Collections\Interfaces\IComparer.d.ts                               3             14              8
Lib\Data\Interfaces\IDataAccessResult.d.ts                              4             15              8
Lib\UI\Interfaces\IButton.d.ts                                          4             11              8
Lib\Data\Interfaces\IAccessInfo.d.ts                                    4             13              8
Lib\Data\Interfaces\IBindingCollection.d.ts                             4             17              8
Lib\UI\Interfaces\Windows\IPageWindow.d.ts                              4              9              8
Lib\Events\Interfaces\IEventArgs.d.ts                                   3             10              8
Lib\Data\Interfaces\IDataAdapter.d.ts                                   2             21              8
Lib\UI\Interfaces\ICanvasBox.d.ts                                       4              9              8
Apps\Starters\TestAppStarter.ts                                         4             10              7
Apps\Starters\MyAppStarter.ts                                           1              1              7
Lib\UI\Interfaces\IMultilineTextBox.d.ts                                4              9              7
Lib\UI\Interfaces\ISVGBox.d.ts                                          4              9              7
Lib\UI\Interfaces\ITileCounter.d.ts                                     4              9              7
Lib\UI\Interfaces\ITileIcon.d.ts                                        4              9              7
Lib\UI\Interfaces\Windows\IStaticPageWindow.d.ts                        4              9              7
Lib\UI\Interfaces\IStackPanelRow.d.ts                                   4              9              7
Apps\Starters\DemoAppStarter.ts                                         4             10              7
Lib\UI\Interfaces\IPanel.d.ts                                           4              9              7
Lib\UI\Interfaces\Windows\ISplashScreen.d.ts                            4             10              6
Definitions\html2canvas.d.ts                                            3              8              6
Lib\Animation\Animation_BuildRefs.d.ts                                  3             17              1
Lib\Build Parts\Exceptions\ExceptionsRefs.d.ts                          3             11              1
